content,date,dislikes,likes,press,title,userName
좋겠다 우와,2020-01-02T06:38:42+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",9622****
불효자,2020-01-02T06:36:19+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",yuns****
여자좀 만나본 남자들이 여자 잘고르는건 팩트,2020-01-02T06:34:39+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",refl****
우리나라도 일본남자들 처럼 연애 안하기시작하면서 페미망할려나 ㅋㅋㅋ,2020-01-02T06:33:42+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",l_a_****
한녀들하고 결혼하면 밖에나가 돈벌어와도 대접못받음 ~ 맞벌이면 다행이지만  혼자 외벌이는 진짜  죽음을 각오하고 결혼해야됨  ~평일날 뼈빠지게 일하고 주말에는 애들 마누라 운전기사노릇에  회사에서 짤리거나  의도치않게 직장을 잃을경우   즉각 이혼당함 ~~ 요즘 여자들한테  쥐죽은듯 사는 남자들 흔하더라    넘 여자들이 드쎄,2020-01-02T06:29:37+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",vick****
한녀보단 낫지,2020-01-02T06:29:14+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",jjan****
스고이~,2020-01-02T06:28:52+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",this****
그럼 김희철 이제 미우새 못나오는건가??,2020-01-02T06:28:10+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",84wi****
모모 사진에 귀여운 모모도 아니고.. 귀여운 앞머리 ㅋㅋㅋㅋ 평소 아형에서도 모모 이름을 노래 부르더만 결국 만나는구나 ㅋㅋ 두사람다 행복하길!,2020-01-02T06:27:09+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",84wi****
결벽증....,2020-01-02T06:26:34+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",pyj6****
최근 호감이 아니라 오래된듯 한대요?,2020-01-02T06:25:51+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",cypr****
희철이하고 모모 같이나온 프로그램 다시한번 봐야겠다.. 사이가 아주 오래된건데..,2020-01-02T06:20:34+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",wgba****
디스패치에 뭘 찍혔길래 제 발 저려서 인정한걸까?,2020-01-02T06:20:16+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",miss****
우리나라는  아이돌이 연애공식발표하는 특이한 나라긴하다....,2020-01-02T06:20:13+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",l_a_****
행복하세요~,2020-01-02T06:13:49+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",thgh****
흰철이 요세 뉴스 자주나오네? 나쁜기사는 아니라서 좋네~,2020-01-02T06:08:38+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",junh****
역시 30대 중후반의 남자라서 그런지 여자 보는 눈이 있구만...한국 여자보단 일본 여자지  암,2020-01-02T06:06:04+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ly12****
오우 김희철좌 ㅇㅈㅇㅈ 디스패치가 이런걸 터트렸어야지,2020-01-02T06:02:28+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",heew****
성격 십창난 한녀보단 일녀지,2020-01-02T06:01:05+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",lesi****
굳이 남의 연애에 행복해라 뭐 해라 이런글 좀 보기 그렇다 서로 잘 맞아 결혼까지 가는거 아니면 몰라도 중간에 사귀다 헤어지기도 하고 싸우기도 할 수 있는데 이게 벌써부터 축하받을 일인지 모르겠네 모모팬이든 희철팬이든 아끼는 사람들 많을 텐데 상대 연예인이 어떤 사람인지도 모르는데 함부로 말하기 좀 그렇지 않나,2020-01-02T06:00:23+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",pino****
저번에 그렇게 아니라고 우기더니 웃기네,2020-01-02T08:17:41+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",cera****
부러운 자식~~~~~~~~,2020-01-02T08:17:19+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ooyy****
실망 스럽네..,2020-01-02T08:17:19+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",soun****
아~실망스럽다.,2020-01-02T08:15:53+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",doro****
모야 넘 잘어울려,2020-01-02T08:15:04+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",lily****
김희철이 37살이라는게 더 충격이네....,2020-01-02T08:14:25+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",juh9****
우리를 속였구나. 트와이스는 진짜 잘 되니깐 우릴 배신하네. 이제부터 걸그룹 따위는 절대로 응원 안 한다.,2020-01-02T08:13:56+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",love****
잘되면 좋겠다 이쁘게 행복하게!!,2020-01-02T08:12:01+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",joym****
진짜 잘 어울린다 ㅎ 이쁜사랑하세요~ ㅎㅎ,2020-01-02T08:05:39+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",83yy****
남좌다잉~ 행복하세요,2020-01-02T08:01:59+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",airj****
와 김희철 부럽다. 이쁜 사랑하세요. 흑흑 ㅜㅜ,2020-01-02T08:01:46+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",sosb****
불매운동 안하냐? 불매는 떠들면서 트와이스는 빨아제끼누?,2020-01-02T06:34:58+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",mbck****
오늘부터 김희철 안티한다. 감히 모모 스시녀를,2020-01-02T06:33:52+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",rupt****
김희철이 옳다 바라는 것만 많은 김치 /먹는/// 년들 버리는게 답이다,2020-01-02T06:27:32+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",heon****
그래 잘 어울린다 싸우지 말고 서로 아끼고 위하며 알콩달콩 살아라,2020-01-02T06:27:20+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",kkyg****
남자비율이 높으면 댓글수준이 진심 개판이됌 ㅋㅋㅋ다갈등아니면 욕설,2020-01-02T06:08:00+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",gksr****
부럽다...탈한녀....,2020-01-02T05:15:15+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",puma****
